Fecha,Año,Mes,Nombre_Mes,Trimestre,Dia_Semana,Nombre_Dia,Semana_Año,Es_Fin_Semana
2023-07-05,2023,7,July,Q3,3,Wednesday,27,0
2023-07-06,2023,7,July,Q3,4,Thursday,27,0
2023-07-07,2023,7,July,Q3,5,Friday,27,0
2023-07-08,2023,7,July,Q3,6,Saturday,27,1
2023-07-09,2023,7,July,Q3,7,Sunday,27,1
2023-07-10,2023,7,July,Q3,1,Monday,28,0
2023-07-11,2023,7,July,Q3,2,Tuesday,28,0
2023-07-12,2023,7,July,Q3,3,Wednesday,28,0
2023-07-13,2023,7,July,Q3,4,Thursday,28,0
2023-07-14,2023,7,July,Q3,5,Friday,28,0
2023-07-15,2023,7,July,Q3,6,Saturday,28,1
2023-07-16,2023,7,July,Q3,7,Sunday,28,1
2023-07-17,2023,7,July,Q3,1,Monday,29,0
2023-07-18,2023,7,July,Q3,2,Tuesday,29,0
2023-07-19,2023,7,July,Q3,3,Wednesday,29,0
2023-07-20,2023,7,July,Q3,4,Thursday,29,0
2023-07-21,2023,7,July,Q3,5,Friday,29,0
2023-07-22,2023,7,July,Q3,6,Saturday,29,1
2023-07-23,2023,7,July,Q3,7,Sunday,29,1
2023-07-24,2023,7,July,Q3,1,Monday,30,0
2023-07-25,2023,7,July,Q3,2,Tuesday,30,0
2023-07-26,2023,7,July,Q3,3,Wednesday,30,0
2023-07-27,2023,7,July,Q3,4,Thursday,30,0
2023-07-28,2023,7,July,Q3,5,Friday,30,0
2023-07-29,2023,7,July,Q3,6,Saturday,30,1
2023-07-30,2023,7,July,Q3,7,Sunday,30,1
2023-07-31,2023,7,July,Q3,1,Monday,31,0
2023-08-01,2023,8,August,Q3,2,Tuesday,31,0
2023-08-02,2023,8,August,Q3,3,Wednesday,31,0
2023-08-03,2023,8,August,Q3,4,Thursday,31,0
2023-08-04,2023,8,August,Q3,5,Friday,31,0
2023-08-05,2023,8,August,Q3,6,Saturday,31,1
2023-08-06,2023,8,August,Q3,7,Sunday,31,1
2023-08-07,2023,8,August,Q3,1,Monday,32,0
2023-08-08,2023,8,August,Q3,2,Tuesday,32,0
2023-08-09,2023,8,August,Q3,3,Wednesday,32,0
2023-08-10,2023,8,August,Q3,4,Thursday,32,0
2023-08-11,2023,8,August,Q3,5,Friday,32,0
2023-08-12,2023,8,August,Q3,6,Saturday,32,1
2023-08-13,2023,8,August,Q3,7,Sunday,32,1
2023-08-14,2023,8,August,Q3,1,Monday,33,0
2023-08-15,2023,8,August,Q3,2,Tuesday,33,0
2023-08-16,2023,8,August,Q3,3,Wednesday,33,0
2023-08-17,2023,8,August,Q3,4,Thursday,33,0
2023-08-18,2023,8,August,Q3,5,Friday,33,0
2023-08-19,2023,8,August,Q3,6,Saturday,33,1
2023-08-20,2023,8,August,Q3,7,Sunday,33,1
2023-08-21,2023,8,August,Q3,1,Monday,34,0
2023-08-22,2023,8,August,Q3,2,Tuesday,34,0
2023-08-23,2023,8,August,Q3,3,Wednesday,34,0
2023-08-24,2023,8,August,Q3,4,Thursday,34,0
2023-08-25,2023,8,August,Q3,5,Friday,34,0
2023-08-26,2023,8,August,Q3,6,Saturday,34,1
2023-08-27,2023,8,August,Q3,7,Sunday,34,1
2023-08-28,2023,8,August,Q3,1,Monday,35,0
2023-08-29,2023,8,August,Q3,2,Tuesday,35,0
2023-08-30,2023,8,August,Q3,3,Wednesday,35,0
2023-08-31,2023,8,August,Q3,4,Thursday,35,0
2023-09-01,2023,9,September,Q3,5,Friday,35,0
2023-09-02,2023,9,September,Q3,6,Saturday,35,1
2023-09-03,2023,9,September,Q3,7,Sunday,35,1
2023-09-04,2023,9,September,Q3,1,Monday,36,0
2023-09-05,2023,9,September,Q3,2,Tuesday,36,0
2023-09-06,2023,9,September,Q3,3,Wednesday,36,0
2023-09-07,2023,9,September,Q3,4,Thursday,36,0
2023-09-08,2023,9,September,Q3,5,Friday,36,0
2023-09-09,2023,9,September,Q3,6,Saturday,36,1
2023-09-10,2023,9,September,Q3,7,Sunday,36,1
2023-09-11,2023,9,September,Q3,1,Monday,37,0
2023-09-12,2023,9,September,Q3,2,Tuesday,37,0
2023-09-13,2023,9,September,Q3,3,Wednesday,37,0
2023-09-14,2023,9,September,Q3,4,Thursday,37,0
2023-09-15,2023,9,September,Q3,5,Friday,37,0
2023-09-16,2023,9,September,Q3,6,Saturday,37,1
2023-09-17,2023,9,September,Q3,7,Sunday,37,1
2023-09-18,2023,9,September,Q3,1,Monday,38,0
2023-09-19,2023,9,September,Q3,2,Tuesday,38,0
2023-09-20,2023,9,September,Q3,3,Wednesday,38,0
2023-09-21,2023,9,September,Q3,4,Thursday,38,0
2023-09-22,2023,9,September,Q3,5,Friday,38,0
2023-09-23,2023,9,September,Q3,6,Saturday,38,1
2023-09-24,2023,9,September,Q3,7,Sunday,38,1
2023-09-25,2023,9,September,Q3,1,Monday,39,0
2023-09-26,2023,9,September,Q3,2,Tuesday,39,0
2023-09-27,2023,9,September,Q3,3,Wednesday,39,0
2023-09-28,2023,9,September,Q3,4,Thursday,39,0
2023-09-29,2023,9,September,Q3,5,Friday,39,0
2023-09-30,2023,9,September,Q3,6,Saturday,39,1
2023-10-01,2023,10,October,Q4,7,Sunday,39,1
2023-10-02,2023,10,October,Q4,1,Monday,40,0
2023-10-03,2023,10,October,Q4,2,Tuesday,40,0
2023-10-04,2023,10,October,Q4,3,Wednesday,40,0
2023-10-05,2023,10,October,Q4,4,Thursday,40,0
2023-10-06,2023,10,October,Q4,5,Friday,40,0
2023-10-07,2023,10,October,Q4,6,Saturday,40,1
2023-10-08,2023,10,October,Q4,7,Sunday,40,1
2023-10-09,2023,10,October,Q4,1,Monday,41,0
2023-10-10,2023,10,October,Q4,2,Tuesday,41,0
2023-10-11,2023,10,October,Q4,3,Wednesday,41,0
2023-10-12,2023,10,October,Q4,4,Thursday,41,0
2023-10-13,2023,10,October,Q4,5,Friday,41,0
2023-10-14,2023,10,October,Q4,6,Saturday,41,1
2023-10-15,2023,10,October,Q4,7,Sunday,41,1
2023-10-16,2023,10,October,Q4,1,Monday,42,0
2023-10-17,2023,10,October,Q4,2,Tuesday,42,0
2023-10-18,2023,10,October,Q4,3,Wednesday,42,0
2023-10-19,2023,10,October,Q4,4,Thursday,42,0
2023-10-20,2023,10,October,Q4,5,Friday,42,0
2023-10-21,2023,10,October,Q4,6,Saturday,42,1
2023-10-22,2023,10,October,Q4,7,Sunday,42,1
2023-10-23,2023,10,October,Q4,1,Monday,43,0
2023-10-24,2023,10,October,Q4,2,Tuesday,43,0
2023-10-25,2023,10,October,Q4,3,Wednesday,43,0
2023-10-26,2023,10,October,Q4,4,Thursday,43,0
2023-10-27,2023,10,October,Q4,5,Friday,43,0
2023-10-28,2023,10,October,Q4,6,Saturday,43,1
2023-10-29,2023,10,October,Q4,7,Sunday,43,1
2023-10-30,2023,10,October,Q4,1,Monday,44,0
2023-10-31,2023,10,October,Q4,2,Tuesday,44,0
2023-11-01,2023,11,November,Q4,3,Wednesday,44,0
2023-11-02,2023,11,November,Q4,4,Thursday,44,0
2023-11-03,2023,11,November,Q4,5,Friday,44,0
2023-11-04,2023,11,November,Q4,6,Saturday,44,1
2023-11-05,2023,11,November,Q4,7,Sunday,44,1
2023-11-06,2023,11,November,Q4,1,Monday,45,0
2023-11-07,2023,11,November,Q4,2,Tuesday,45,0
2023-11-08,2023,11,November,Q4,3,Wednesday,45,0
